appId,title,url,description,primaryGenre,contentRating,size,released,updated,releaseNotes,price,free,developer,developerWebsite,score,currentVersionScore,currentVersionReviews,supports_iPhone,supports_iPad,supports_Mac,days_since_last_update,app_age,Sentiment_Category,update_frequency,price_category,app_age_category,file_size_category
com.wanderlog.ios,Wanderlog - Travel Planner,https://apps.apple.com/us/app/wanderlog-travel-planner/id1476732439?uo=4,"Wanderlog is a free travel app (with an optional subscription) for planning every kind of trip, including road trips and group travel: create a trip itinerary, budget costs, organize flight and hotel reservations, view places to visit on a map, and collaborate with friends. With an optional subscription, you can also export your trip to Google Maps and link your Gmail account. After your trip, share a travel guide to inspire other travelers.

- See flights, hotels, and attractions in one place (like TripIt and Tripcase)
- View plans on a travel map & map your route (like Roadtrippers)
- Rearrange the order of places easily by drag-and-drop
- Planning a road trip? Add unlimited stops for free, optimize your route, view times & distances between places, and export places to Google Maps
- Planning group travel? Invite friends and collaborate in real-time just (like Google Docs)
- Automatically import reservations by forwarding emails or connecting your Gmail
- Add things to do from top guides with 1 click (like Tripadvisor and Google Trips/Google Travel)
- Access your trip plans offline
- Add notes and links to your stops
- Have your trip plans automatically sync across devices
- Set budget, track expenses, and split bills with a group

-------

SEE IT ON A MAP

Every time you add a place to visit, it’s immediately pinned on your Google Maps-based travel map. No need to pull up different travel apps and websites to organize plans and see them on a map - you can do it all in the Wanderlog trip planner app! Plus, if you’re visiting points in order, lines will connect the different pins on the map so you can see your route (perfect for road trips!). You can also export all your places to Google Maps too.

STORE PLANS OFFLINE

All your plans are automatically stored offline on the Wanderlog travel planner app - especially helpful during a road trip with poor signal and international travel.

GET ON THE ROAD

Looking for a road trip planner? Travelers can plan their trips and stops with Wanderlog. See your route on a map, or try our route optimizer to automatically rearrange and plan your route to save travel time. See estimated times & distance traveled between places to make sure it all fits, and total time and distance traveled for a given day to make sure you’re not driving too long. Plus, you can add unlimited stops along your road trip for free.

COLLABORATE WITH FRIENDS

For group travel planning, add your tripmates with their email address or by sharing a link to the itinerary. Like for Google Docs, everyone can collaborate in real-time. Set permissions and choose whether people can edit or just view your travel plans.

STAY ORGANIZED

Access flights, hotels, and attractions in one app. Forward flight and hotel confirmation emails to import them directly into your trip plan, or connect your Gmail to automatically add them. Prefer to keep high-level plans? Make generic lists like ‘Things to do’ and ‘Restaurants’ you want to eat at. Traveling on a tight schedule and want to create a detailed itinerary? Organize your day by adding start (and end) times, perfect for keeping track of tickets and reservations.

GET INSPIRATION & INFORMATION

For each place, see key info like a description and picture of the place, average user ratings with links to reviews, opening hours, address, website, and phone number. Stay inspired by exploring top travel guides from the web that feature viewpoints, attractions, and restaurants, and from lists from Google Trips and Google Travel, as well as by other Wanderlog users, and add things to do from those guides to your trip plan with 1 click.

CONTROL YOUR SPENDING

Set a budget for yourself or a group. Take control of your spending and keep track of all expenses. For a group trip, split a bill with other people and easily calculate the cost. Keep a record of who paid for what, how much everyone owes or is owed, and settle debts between tripmates.",Travel,4+,106180608,2019-08-22 07:00:00+00:00,2024-04-11 22:31:17+00:00,"Wanderlog's available in more languages! We're launching Chinese, Spanish, Italian, Portuguese, Japanese, and Korean support. We fixed a bug that prevented sharing with emails. Our Dream Trip Contest for a chance to win a $1,000 trip to anywhere in the world will also continue until April 15!",0.0,free,Travel and Vacation Planner App LLC,,4.90662,4.90662,15421,1,1,0,16,1694,Positive,Very Recent Updates,Free,Very Mature,Medium
com.tripit.tripitmobile,TripIt: Travel Planner,https://apps.apple.com/us/app/tripit-travel-planner/id311035142?uo=4,"Join nearly 20 million travelers on the world's highest-rated travel planner app for trip and itinerary organization!


TRAVEL ITINERARY

As soon as you book a flight, hotel, rental car or other travel plan, simply forward it to plans@tripit.com and we’ll automatically add it to your comprehensive itinerary. Seamlessly sync travel plans to your calendar or share them with anyone you choose.


RESERVATION DETAILS

No more frantically searching through your inbox for important details about your travel plans, like when your flight gets in or the confirmation number for your hotel. Find them in a flash with TripIt — even when you’re offline. Access this information hands-free with Siri shortcuts!


Upload PDFs, photos, boarding passes, digital passport QR codes and more to your travel itinerary, so you can track everything in one place.


MAPS AND DIRECTIONS

The TripIt app includes all the map-related tools you’ll need on-the-go (it’s great for road trips).

-	Plot out your entire trip on Google Maps or Apple Maps
-	Quickly pull up transportation options and driving directions between two points (powered by Rome2Rio)
-	Easily locate the closest restaurants, parking, ATMs and more


TRIPIT PRO

For roughly the price of checking your bags, upgrade to TripIt Pro to access exclusive travel perks all year long. When you upgrade, TripIt Pro will do all this for you (and more!):


• Share real-time flight status alerts and check in reminders
• Notify you if you're eligible for a refund if your fare price drops after booking
• Track your reward programs and alert you if points are expiring
• Navigate you through the airport with interactive maps
• Keep you informed when a potential disruption may impact your trip


Your iTunes account will be charged when the purchase is confirmed. Your TripIt Pro subscription will be good for 1 year, and automatically renew each year at $48.99 unless you turn off auto-renew at least 24 hours before your term ends. To manage your subscription, including auto-renew, visit iTunes Account Settings.


FREE TRIPIT PRO FOR SAP CONCUR USERS

If your company uses SAP Concur, you may receive complimentary TripIt Pro benefits that most travelers have to pay for. Make sure you’re connected to TripIt to get itineraries created for you as soon as you book, and receive a complimentary subscription to TripIt Pro, if you’re eligible.


For more information, see the TripIt User Agreement (https://www.tripit.com/uhp/userAgreement) and Privacy Policy (https://www.tripit.com/uhp/privacyPolicy).",Travel,4+,137182208,2009-04-10 22:18:20+00:00,2024-03-25 16:37:58+00:00,"• Introducing our newest TripIt Pro feature, Risk Alerts! Get proactive alerts about events that have the potential to disrupt your trip, so you can modify your itinerary if needed and still enjoy your trip. Alerts may cover inclement weather, unplanned airport closures, protests or strikes, public health events, and more. Enable these push notifications by toggling “Risks and Disruptions” to “On” within Settings.",0.0,free,TripIt,https://www.tripit.com/uhp/mobile,4.83115,4.83115,255705,1,1,0,34,5462,Positive,Recently Updated,Free,Very Mature,Medium
com.roadtrippers.roadtrippersinc,Roadtrippers - Trip Planner,https://apps.apple.com/us/app/roadtrippers-trip-planner/id944060491?uo=4,"DISCOVER THE OPEN ROAD AND THE GREAT OUTDOORS WITH EASE
Roadtrippers, the #1 road trip planning app, now includes the patent-pending AI-powered trip wizard: Roadtrippers Autopilot™.  Whether you’re RVing on your annual campground trip, or planning a weekend trip at a boutique hotel, Roadtrippers Autopilot™ uses the knowledge of over 38 million trips to help get you there. And, with the newly added features from Campendium, Roadtrippers will be your go-to app for planning epic road trips and finding the perfect camping spots. 

ENHANCED CAMPING AND RV FEATURES
∙ Campground Reviews and Insights: Dive into over 150,000 campground reviews, offering perspectives for RVers and campers alike. Discover the best spots, from swanky RV parks to serene, free remote destinations.
∙ Comprehensive Map Overlays: Find the perfect campgrounds with ease using overlays for public land, cell coverage, and wildfire smoke, ensuring you’re always informed and prepared.
∙ Advanced Filtering Options: Tailor your search with new filtering capabilities, including cell service and elevation, to find your ideal campsite every time.

EXPLORE AND PLAN WITH EASE
∙ Epic Routes and Places: Uncover millions of unique places, from quirky roadside attractions to breathtaking national parks. Get inspired by pre-made trip guides for once-in-a-lifetime routes.
∙ Customizable Planning: Start with up to three stops or upgrade to add up to 150 stops per trip with our Premium membership. Enjoy RV-friendly GPS navigation, offline maps, trip collaboration, and more.
∙ Seamless Syncing and Navigation: Your saved trips and favorite places sync across devices. Hit the road with confidence using CarPlay for easy navigation.

JOIN THE ROADTRIPPERS COMMUNITY
Merging the spirit of Campendium with Roadtrippers, we invite you to embark on road trips and camping adventures that you’ll cherish forever. Whether you’re mapping out a weekend getaway or a cross-country journey, Roadtrippers is here to guide you every mile and every campsite along the way.

Download Roadtrippers today and transform your travel dreams into reality. Your next epic adventure awaits!

Terms of use: https://roadtrippers.com/tos
Privacy policy: https://roadtrippers.com/privacy-policy",Travel,4+,171893760,2014-11-25 13:10:20+00:00,2024-04-18 15:33:14+00:00,"Roadtrippers is excited to introduce their brand-new, AI-powered trip planning tool: Roadtrippers Autopilot™, just in time for all your summer road tripping plans!
Whether you’re RVing on your annual campground trip, or planning a weekend trip at a boutique hotel, Roadtrippers Autopilot™ uses the knowledge of over 38 million trips to help get you there.
Get started with a free trial, or sign in with your Premium account, and check out Autopilot today!
Happy travels :)",0.0,free,Roadtrippers,https://roadtrippers.com,4.64835,4.64835,58917,1,1,0,10,3432,Negative,Very Recent Updates,Free,Very Mature,Medium
app.tripsy.ios,Tripsy: Travel Planner & Guide,https://apps.apple.com/us/app/tripsy-travel-planner-guide/id1429967544?uo=4,"Tripsy is a travel planner that helps you plan your entire trip in one place. You can share your itinerary with family and friends, receive flight alerts, store documents, and make wish lists of places to visit.

During the trip, the app helps you by providing a 10-day weather forecast, updated flight information, offline access to everything, time zone changes, and much more!
 
**WHAT EVERYONE IS SAYING:**
 
App Store Featured: “Making the most of your holiday time requires some planning. With Tripsy, that’s plain sailing. Enter flight times, hotels, and places you want to visit, then share your itinerary with your travel mates with a tap of a button”.
 
MacStories: “Tripsy does what I’ve long wished for: offers a compelling trip planning experience in a modern app that takes advantage of iOS’ core technology strengths.”
 
9to5mac: “The app’s interface is extremely user-friendly, and it also offers data synching in the cloud, automation service, and Siri Shortcuts.”
 
**Tripsy is your ultimate travel companion**

Here are some of its key features:

– Organize all your travel information, from flights and hotels to restaurants and tours, in one place.
- 10-day forecast weather on your itinerary.
– Receive flight updates via push notifications and never miss a gate or time change again.
– Share your trip with friends and family and collaborate on itinerary planning.
– Store all your travel memories, from images and notes to videos and documents, and easily share them with guests.
– Automatically import reservations from over 700 providers, including Booking.com, Hotels.com, and major airlines.
– Sync your trip data with your calendar app to stay on top of all your activities and events.
– Get one-click access to popular mapping services like Waze, Google Maps, and Uber from any of your destinations.
– Stay informed with real-time flight alerts on departure and arrival times, terminals, gates, and baggage claims.
– Customize your travel itinerary with background images or colors that match your style.
– Configure each activity with the time zone you want, making the organization of your trip more practical.
– Explore exclusive travel itineraries curated by Tripsy with tips and insider information to make your trip as fruitful as possible.

With Tripsy, you can effortlessly plan your entire trip and stay organized every step of the way.
  
Tripsy is free, but we also offer a pro version called Tripsy Premium with unlimited trips, exclusive itineraries, cloud, documents, and more. Premium is available in monthly and yearly subscriptions, and a lifetime purchase option is available.
 
- View our Terms of Service at: https://tripsy.app/terms
- View our Privacy Policy at: https://tripsy.app/policy",Travel,4+,131228672,2018-10-26 02:58:32+00:00,2024-04-23 13:40:20+00:00,This update contains bug fixes and minor improvements.,0.0,free,Tripsy LLC,https://tripsy.app,4.69664,4.69664,2558,1,1,1,5,2006,Positive,Very Recent Updates,Free,Very Mature,Medium
com.tripadvisor.LocalPicks,Tripadvisor: Plan & Book Trips,https://apps.apple.com/us/app/tripadvisor-plan-book-trips/id284876795?uo=4,"** Be one of the first to try the beta version of our newly-launched AI itinerary builder, offering personalized recs powered by traveler tips and reviews. **

As a travel guidance company, Tripadvisor brings people, passions and places together. We aim to help make you a better traveler, from travel planning, to booking, to taking a trip. The app lets you get the most out of your trip—whether you’re planning or on-the-go. Discover where to stay, what to do and where to eat based on guidance from millions of travelers who have been there before. Find deals on hotels, book experiences, reserve tables at great restaurants and discover great places nearby. No matter what type of trip you’re looking to take, the Tripadvisor app makes planning it easy and also lets you guide others on their way.

GET TRAVEL GUIDANCE
• Find millions of reviews about hotels, restaurants, tours, attractions and other experiences from travelers like you
• Read articles and guides to discover new ways to experience a destination with tips from travel experts
• Discover great deals on top-rated hotels, tours, activities, experiences and other things to do
• Find great places to eat nearby and make restaurant reservations

ORGANIZE YOUR TRIP IN ONE PLACE
• Use the updated Trips planning tool to save hotels, restaurants, and things to do
• Get personalized recs with AI itineraries powered by reviews (beta)
• See your saves on your custom map
• Share and collab with your travel buds
• Access mobile tickets for booked tours, attractions, experiences and other things to do

GUIDE OTHER TRAVELERS
• Submit your own reviews and photos of places you’ve visited to guide fellow travelers
• Post and answer questions from like-minded travelers in the Tripadvisor forums",Travel,4+,172310528,2019-02-05 08:00:00+00:00,2024-04-24 13:07:55+00:00,"Improvements to the Trip planning product which allow travelers to:

 - Receive a custom AI itinerary backed by traveler reviews
 - View saves in an organized list within the saves tab
 - Build an itinerary by adding saves and organizing them by day
 - View saves plotted on a map",0.0,free,Tripadvisor,https://www.tripadvisor.com,4.80116,4.80116,340975,1,1,0,4,1905,Slightly negative,Very Recent Updates,Free,Very Mature,Medium
com.visitacity.visitacityapp,Visit A City,https://apps.apple.com/us/app/visit-a-city/id985996026?uo=4,"Visit A City - The ultimate travel app for planning your city sightseeing trip:
• Create a customized itinerary and book your tours and activities with just a few taps.
• Discover the must-see landmarks, historical sites, and hidden gems of your destination with our comprehensive guide.
• Browse through a wide range of tours and activities, from guided walking tours to day trips and more.
• With detailed information and reviews, you can easily find the best experiences to suit your interests.

 
No need for multiple apps, Visit A City has everything you need to make the most of your trip. Download now and start exploring!""",Travel,4+,74218496,2015-05-20 10:38:23+00:00,2024-04-04 13:06:32+00:00,"Visit A City, the ultimate travel companion, just got even better! We've added new features to enhance your travel experience, including: 
• Up-to-date attraction information, so you can plan your itinerary with confidence 
• Purchase tours and tickets directly through the app
• Smart nearby information gives you suggestions for things to do and see based on your location 
• Opening hours, so you can make the most of your time in the city",0.0,free,Visit A City,http://www.visitacity.com,4.83634,4.83634,12416,1,1,0,24,3242,Positive,Very Recent Updates,Free,Very Mature,Medium
com.jeremieleroy.packr,Packr Travel Packing List,https://apps.apple.com/us/app/packr-travel-packing-list/id1208312901?uo=4,"Save time before going on a trip with Packr! Packr will help you pack your suitcase for each trip. The packing list is based on your destination (city, country or region), travel dates and activities.

◆ PACKING CHECKLIST ◆

Packr creates a packing checklist for your suitcase from 24 pre-defined activities.
Based on length of stay, weather and planned activities, your packing list will be ready in no time. This is the perfect tool for your summer vacations, long week-ends, road trips and even camping.

◆ LESS STRESS ◆

Every journey is different, each traveler has his own habits. Packr learns from each of your trips to organize the packing checklist, and adjusts the items based on your previous trips.
You will never forget to pack THAT thing again !

◆ BETTER PREPARED ◆

A quantity can be set for each item, some items' quantity will be automatically adjusted to the length of your stay.
You can also create your own packing lists.

◆ PRACTICAL FEATURES ◆

Premium users can synchronize trips on all devices such as iPhone, iPad and iPod Touch.
You can also share the checklist with your travel companions or print it out.


Packr has already travelled several thousand times around planet Earth packing over a million items in each traveller's suitcase.

Packr has been used for trips to cities like Paris, London, Barcelona, New York City, Montreal, Berlin, Majorca... And countries like France, United Kingdom, Spain, Greece, USA, Italy, Canada, Germany and 1000+ more locations.


Terms of Use:
https://www.apple.com/legal/internet-services/itunes/dev/stdeula/",Travel,4+,75546624,2017-04-08 22:22:02+00:00,2023-07-24 14:05:52+00:00,"Packr version 2.6 is now available.


◆ New features & enhancements ◆ 

Offline mode is now available.

Faster loading of images on the Home Screen.

10 new activity icons.

Easily add custom items to the default lists with a long press in the packing list.

Icons are now grouped by category when adding a new list.

Renaming default list items is now available for Premium users.


◆ Bug Fixes ◆ 

- Fixed minor issues with offline mode.
- Fixed item count when editing the packing lists.
- Fixed crash when adding/editing a List/Activity.
- Fixed ""Laundry"" button not displaying its correct active state.
- Fixed duplicating a trip to make an identical copy.
- Fixed Contact Us form not sending the message.
- Fixed crashing on Apple Silicon devices.
- Custom pictures can now be selected from the Photo gallery.
- Fixed renaming items in the packing list.
- Fixed trips not appearing for certain timezones.
- Fixed weather not loading correctly.
- Fixed printing of the packing list.
- Fixed TripIt connection.
- Fixed nearby attractions not showing up.



Love the app? Rate us! Your feedback keeps Packr engine running.
Have a question? Tap ""Contact us"" in the app or send us an email: hello@packr.app",0.0,free,Jeremie Leroy,https://packr.app,4.61597,4.61597,6010,1,1,0,279,2297,Slightly negative,Rarely Updated,Free,Very Mature,Medium
flamingo.com.uk.Flamingo,Flamingo — Travel Days Tracker,https://apps.apple.com/us/app/flamingo-travel-days-tracker/id1631680437?uo=4,"Flamingo flies with you and makes sure you comply with international and US state travel and tax requirements. An essential tool for global expats, digital nomads, permanent residents, dual residents, overseas homeowners, and frequent travellers.

AUTO TRIP RECORDING
With geolocation tracking, Flamingo automatically determines if you have left your residence country or state and accurately records your trip details so that you don’t have to. Keep tabs on the countries and states you’ve visited and how many days you spent there.

SCHENGEN AREA CALCULATOR
If you frequently travel to the EU Schengen Travel Area as a non-resident, it can be a hassle to keep up with the 90 in 180 days rule. Flamingo counts how many combined days you’ve already spent in Schengen countries and how many more you have left in the 180-day period. If you’re already located in the EU as a non-resident, Flamingo tells you the date when you have to leave to avoid overstaying.
The built-in calculator helps you determine not only the earliest date you can travel to the EU for your desired number of days, but also for how many days you can stay if you arrive on your desired date.

VISA-FREE STAY
Based on your citizenship, Flamingo automatically identifies to which countries you need a visa, e-visa, or visa on arrival and where you can travel absolutely visa-free.
Coming soon: Flamingo will also tell you how long you can stay in each country visa-free, monitor your duration of stay and alert you when you’ll be close to overstaying.

RESIDENCE STATUS FOR COUNTRIES & US STATES
Flamingo helps you determine your physical presence for domicile and residency by automatically recording and counting how many days you spend there.
*Especially useful for Statutory Residence Test for UK expats and Substantial and Physical Presence Tests for US expats and permanent residents.

EXPORT REPORTS
You can download a customizable CSV report with your travel details with the tap of a button. Share it with authorities and lawyers in seconds or keep it for your own travel records. 

COMPLETE PRIVACY
Your travel, residency, and visa data is stored locally only on your device. We do not collect, nor store, your information on our servers. 
*With Flamingo PRO you can sync your data via iCloud across all your devices.

***Flamingo tracking and counting are created for information purposes only. Always consult with your legal advisor about specific requirements for your residency and visa status.

Terms of Use (EULA): https://www.apple.com/legal/internet-services/itunes/dev/stdeula/
Privacy Notice: https://flamingotracker.com/policy",Travel,4+,47089664,2022-12-02 08:00:00+00:00,2024-04-26 21:40:31+00:00,Schengen calculator bug fixes,0.0,free,Taboo Media Limited,https://flamingotracker.com/,4.67105,4.67105,76,1,1,0,1,511,Slightly negative,Very Recent Updates,Free,Mature,Small
co.tripscout.tripscout,Trip Scout - My Travel Planner,https://apps.apple.com/us/app/trip-scout-my-travel-planner/id1005057966?uo=4,"The New York Times, USA Today, and Travel & Leisure have said Tripscout is THE essential app for the modern traveler. 


Discover a destination like a local insider and plan the perfect trip with your personalized, always up-to-date travel guide - and it’s 100% FREE! 
 
See why the world’s top travelers plan their trips with Tripscout:

1. THE BEST TRAVEL ARTICLES & VIDEOS ARE HANDPICKED FOR YOU:
Discover the best articles and videos from top publishers and local influencers for YOUR trip so you can stop filtering through irrelevant recommendations, sponsored ads, and out of date guidebook content.

2. TURN INSPIRATION TO ACTION WITH TRAVEL PRO EFFICIENCY:
Every restaurant, cafe, shop, or site featured in the content is mapped to our 100M+ points of interest so you can efficiently save anything you discover with one tap, compare photos and local tips from recent travelers, and easily stitch together a full, personalized itinerary and map on your phone.

3. A PERSONALIZED EXPERIENCE THAT PUTS YOU FIRST:
The best travel content is not one-size-fit all and we personalize all content based on your actual trip dates, budget, interests, and travel companions to make sure you’re always in-the-know on the experiences you care about.

4. TRAVEL GUIDE & MAPS WORK COMPLETELY OFFLINE
Travel stress-free by downloading your entire travel guide and map offline so you don’t have to worry about using data when traveling overseas or cruising at 50,000 feet in airplane mode.

Hundreds of travel bloggers and publications have featured Tripscout as the essential resource for the modern traveler and have given our apps some very high endorsements, such as:

-- “Basically the best thing ever for travelers.” - Conde Nast Traveler
-- “Helps travelers explore the local side of the city” - USA Today
-- “Perfect for the curious traveler” - American Airlines
-- “Makes travel easier, but just as exciting.” - Forbes 
-- ""Finally, a travel app that’s purposefully, blissfully simple” - Travel+Leisure

Keep exploring and stay curious! 

P.S. You can review our terms of use and privacy policy together at: https://tripscout.co/privacypolicy/",Travel,4+,44103680,2015-08-09 12:16:01+00:00,2022-12-05 09:07:17+00:00,Stability and performance improvements.,0.0,free,"TripScout, Inc.",https://tripscout.co,4.7195,4.7195,4239,1,1,0,510,2674,Slightly negative,Stale,Free,Very Mature,Small
com.CarobApps.inRoute,inRoute - Intelligent Routing,https://apps.apple.com/us/app/inroute-intelligent-routing/id703796787?uo=4,"Plan optimal routes or chart your own course using weather, elevation, curves and more. Then navigate safely with voice-guided, turn-by-turn directions that automatically check your route for severe weather. 

***Featured in Essential Navigation Apps on the US App Store***
***As seen on the TODAY show in the Traveling This Summer segment***
“adding to both the safety of the ride and the pleasure of knowing beforehand what to expect” - Florin Tibu, “autoevolution”
“I used InRoute for planning six world record attempts. No weather app gives you more information, period.” - Carl Reese, Multiple World Record Holder

Key Features (some require inRoute Pro--see below):
• Voice guided navigation of up to 150 locations with automatic severe weather alerts*
• Optimize waypoint order for fastest time, or manually reorder
• Import from XLSX, GPX and KML files
• Create custom routes based on weather, elevation and curviness, or build your own route from available alternates on each leg of a route
• Interactive charts showing route elevation, curviness, weather (temperature, humidity, precipitation, wind speed/direction, severe weather alerts), and sunrise/sunset times*
• Search along a route—the whole route, every x miles/hours, or the next x miles/hours from a place—find gas, hotels, campgrounds or places to eat close to a route
• Enter your RV specs to avoid clearance issues and weight restrictions
• Set Departure and Layover Times—weather forecasts, road conditions (e.g. congestion), and travel times accurately reflect conditions throughout the trip
• Save your favorite routes and places, sync between devices, organize into folders, print via Airprint, and share with family and friends
• Easily add places to the map using a Dropped pin, Search, or Contacts
• Export routes to Apple Maps, Google Maps, Navigon, and Waze. Some apps use inRoute's ""Agenda Nav"" feature. See the in-app FAQ for more info.
• Export to GPS devices and apps compatible with GPX files
• Routes are stored on your device so you can access them even if you lose connection
*Weather forecasts are available worldwide. Severe weather alerts are currently available in the US, EU, Canada and Israel.

inRoute Pro (for iPhone, iPad, CarPlay & Mac):
- $4.99 monthly, or $39.99 annually. 1 week free trial
- Create routes with up to 150 locations (8 in free version)
- Sync routes and pins between devices
- Weather charts/custom routes
- Severe weather alerts during navigation (US, Canada, EU areas)
- Export/share routes as GPX files
- RV routes based on vehicle description

Price may vary by location. Subscriptions will be charged to your credit card through your iTunes account. Your subscription will automatically renew unless canceled at least 24 hours before the end of the current period. Manage your subscriptions in Account Settings after purchase.

Privacy Policy and Terms of Use: http://carobapps.com/privacy-policy

Note: Since continued use of GPS running in the background can dramatically decrease battery life, inRoute will automatically shut down if you haven't used it in a while.",Navigation,4+,81117184,2013-11-29 08:00:00+00:00,2024-04-27 22:25:40+00:00,"- GPX file updates allowing inRoute's Via points to become Shaping Points on some Garmin GPS devices
- Removed ""Basic GPX"" option (no longer needed)
- Minor interface updates and bug fixes",0.0,free,"Carob Apps, LLC",https://inroute.com,4.61062,4.61062,7846,1,1,0,0,3802,Positive,Very Recent Updates,Free,Very Mature,Medium
