appId,genres
com.wanderlog.ios,Travel
com.wanderlog.ios,Navigation
com.tripit.tripitmobile,Travel
com.tripit.tripitmobile,Navigation
com.roadtrippers.roadtrippersinc,Travel
com.roadtrippers.roadtrippersinc,Navigation
app.tripsy.ios,Travel
app.tripsy.ios,Navigation
com.tripadvisor.LocalPicks,Travel
com.tripadvisor.LocalPicks,Lifestyle
com.visitacity.visitacityapp,Travel
com.jeremieleroy.packr,Travel
com.jeremieleroy.packr,Utilities
flamingo.com.uk.Flamingo,Travel
flamingo.com.uk.Flamingo,Productivity
co.tripscout.tripscout,Travel
co.tripscout.tripscout,Magazines & Newspapers
com.CarobApps.inRoute,Navigation
com.CarobApps.inRoute,Travel
com.rmitech.nowy,Travel
com.rmitech.nowy,Social Networking
com.pluto.travel,Travel
com.pluto.travel,Lifestyle
com.expedia.booking,Travel
com.expedia.booking,Lifestyle
digital.monos.tour,Travel
digital.monos.tour,Navigation
app.getroadie.ios,Travel
app.getroadie.ios,Navigation
com.hopper.flights,Travel
com.hopper.flights,Reference
com.booking.BookingApp,Travel
com.booking.BookingApp,Lifestyle
com.stippl.stippl,Travel
com.stippl.stippl,Social Networking
com.outofoffice.ooomobile,Travel
com.outofoffice.ooomobile,Social Networking
com.airbnb.app,Travel
com.airbnb.app,Lifestyle
com.modesittsoftware.RTP-Viewer,Travel
com.modesittsoftware.RTP-Viewer,Navigation
com.tripmapper.tripmapper,Travel
com.tripmapper.tripmapper,Utilities
com.getyourguide.mobile.GetYourGuide,Travel
com.getyourguide.mobile.GetYourGuide,Lifestyle
com.HighHeels.Travelist,Travel
com.rome2rio.Rome2Rio,Travel
com.rome2rio.Rome2Rio,Navigation
com.kayak.travel,Travel
com.kayak.travel,Business
com.yourcompany.CheckMyTrip,Travel
com.yourcompany.CheckMyTrip,Productivity
com.pilotplans,Travel
com.pilotplans,Productivity
com.kartsev.tripgen,Travel
com.kartsev.tripgen,Lifestyle
com.caseygrp.Keyoobi,Productivity
com.caseygrp.Keyoobi,Business
com.marchukevich.tripplanner,Travel
com.marchukevich.tripplanner,Navigation
com.citycracker.app,Travel
com.citycracker.app,Navigation
com.polarsteps.Polarsteps,Travel
com.polarsteps.Polarsteps,Social Networking
com.routeplanners.apps,Navigation
com.routeplanners.apps,Business
de.hacon.hafas.eurail.navigator,Travel
de.hacon.hafas.eurail.navigator,Navigation
com.hadfield.roadtrip,Travel
com.hadfield.roadtrip,Utilities
com.kaimallie.ibucket,Travel
com.kaimallie.ibucket,Lifestyle
com.proalab.routeoptimizer,Navigation
com.proalab.routeoptimizer,Productivity
com.willie.Funlidays,Travel
com.willie.Funlidays,Utilities
ai.iplan.app,Travel
ai.iplan.app,Lifestyle
com.lyfshort.lyfshortapp,Travel
com.lyfshort.lyfshortapp,Utilities
com.rccl.celebrity,Travel
com.rccl.celebrity,Entertainment
ideastudio.Weather-on-the-Way,Weather
ideastudio.Weather-on-the-Way,Travel
com.tripomatic.tripomatic,Travel
com.tripomatic.tripomatic,Utilities
com.SlapiOSapp,Travel
com.citypass.my,Travel
com.ericrwolfe.Footpath,Navigation
com.ericrwolfe.Footpath,Health & Fitness
com.ifreegroup.exping,Graphics & Design
com.ifreegroup.exping,Utilities
com.hotels.HotelsNearMe,Travel
com.hotels.HotelsNearMe,Lifestyle
RestingCranes.PlaceMaker,Navigation
RestingCranes.PlaceMaker,Travel
com.atlasobscura.ios,Navigation
com.atlasobscura.ios,Travel
com.cheapflights.search,Travel
com.bd.adeo,Travel
com.fyfoh.iosapp,Travel
com.fyfoh.iosapp,Productivity
com.walabokllc.superchargersfortesla,Travel
com.walabokllc.superchargersfortesla,Navigation
no.ruter.Reise,Travel
no.ruter.Reise,Navigation
com.montgomery.rideon,Navigation
com.g16.app.berbe,Travel
com.driveweather.2018,Weather
com.driveweather.2018,Travel
com.hipcamp.pocketknife,Travel
com.hipcamp.pocketknife,Lifestyle
com.bytheways.tripapp,Travel
com.bytheways.tripapp,Navigation
io.lambus.app,Travel
io.lambus.app,Productivity
com.nosach.route-planner,Navigation
com.nosach.route-planner,Business
com.bub.iwanderlust,Travel
com.bub.iwanderlust,Social Networking
com.smartwidgetlabs.travelmapvisual,Travel
com.smartwidgetlabs.travelmapvisual,Utilities
crc.oneapp.co,Reference
crc.oneapp.co,Travel
com.underwoodapps.Circuit,Navigation
com.underwoodapps.Circuit,Business
com.momondo.search,Travel
com.momondo.search,Lifestyle
com.PackThis,Travel
com.PackThis,Productivity
com.busexpertapp.oceania.sydney,Travel
com.busexpertapp.oceania.sydney,Navigation
com.yeah.isl,Travel
com.yeah.isl,Navigation
com.visitwidget.fishermanswharf,Travel
com.visitwidget.fishermanswharf,Entertainment
com.proalab.weather,Weather
com.proalab.weather,Navigation
com.bodunov.GalileoPro,Navigation
com.bodunov.GalileoPro,Travel
com.routeplanner.crew.app,Navigation
com.routeplanner.crew.app,Business
com.flutterflow.parisurbanist,Travel
com.flutterflow.parisurbanist,Education
com.zacharyblank.Driver,Navigation
com.zacharyblank.Driver,Productivity
com.durbinware.WSFInfo,Travel
com.durbinware.WSFInfo,Navigation
com.ratp.toscane,Navigation
com.ratp.toscane,Travel
com.mike.unikoom.lucy,Travel
com.mike.unikoom.lucy,Lifestyle
travel.fcm.usa.sam,Travel
travel.fcm.usa.sam,Navigation
MehmetCanAlaca.Pin-Travel,Travel
MehmetCanAlaca.Pin-Travel,Lifestyle
com.foxworldtravel.guides,Travel
com.foxworldtravel.guides,Lifestyle
jp.co.navitime.transit,Navigation
jp.co.navitime.transit,Travel
com.crescentrating.crescenttrips101,Lifestyle
com.crescentrating.crescenttrips101,Travel
com.tymonwiedemair.prague2go,Travel
com.tymonwiedemair.prague2go,Navigation
com.tymonwiedemair.istanbul2go,Travel
com.tymonwiedemair.istanbul2go,Navigation
net.trippin,Travel
net.trippin,Lifestyle
com.chicago.free,Navigation
com.chicago.free,Travel
com.gotoapp.qatar,Travel
com.gotoapp.qatar,Lifestyle
com.remedy.orbt,Travel
com.remedy.orbt,Lifestyle
com.tymonwiedemair.singapore2go,Travel
com.tymonwiedemair.singapore2go,Navigation
com.tymonwiedemair.berlin2go,Travel
com.tymonwiedemair.berlin2go,Navigation
tech.kongri.travel,Travel
tech.kongri.travel,Entertainment
vc.bizet.Gigi,Travel
vc.bizet.Gigi,Education
kr.co.yjteam.dailytrip,Travel
kr.co.yjteam.dailytrip,Productivity
com.circlegate.ezrideboston,Travel
com.circlegate.ezrideboston,Navigation
com.zipptrip.lumi,Travel
com.reverllc.rever,Navigation
com.reverllc.rever,Travel
com.vaicai.VaicAI,Travel
com.tymonwiedemair.vienna2go,Travel
com.tymonwiedemair.vienna2go,Navigation
com.arriva.glimble,Travel
com.arriva.glimble,Navigation
com.shakaguide.kauai,Travel
com.shakaguide.kauai,Navigation
de.geomeister.motocompano,Navigation
de.geomeister.motocompano,Travel
com.triplink.app,Travel
com.triplink.app,Navigation
com.klook.klook,Travel
com.klook.klook,Lifestyle
com.escapekar.escapekar,Travel
com.tripoto.app,Travel
com.tripoto.app,Social Networking
com.chimani.parks.free,Travel
com.chimani.parks.free,Health & Fitness
com.jc.planiti,Travel
com.jc.planiti,Navigation
cz.worldeecom.worldee,Travel
cz.worldeecom.worldee,Social Networking
com.trueelephant.trexpense.free,Travel
com.trueelephant.trexpense.free,Finance
com.RyanPeggs.iMaps-,Navigation
com.RyanPeggs.iMaps-,Travel
com.routeplanner.app,Navigation
com.routeplanner.app,Business
com.holidaypirates.urlaubspiraten,Travel
com.holidaypirates.urlaubspiraten,Lifestyle
travel.portico.app.ios,Travel
travel.portico.app.ios,Productivity
com.troupe.mobileapp,Travel
com.troupe.mobileapp,Lifestyle
com.chriswithers456.TripPlanner,Travel
com.chriswithers456.TripPlanner,Productivity
com.airpano.travelbook,Travel
com.airpano.travelbook,Lifestyle
com.visitwidget.nomansland,Travel
com.visitwidget.nomansland,Entertainment
com.pinguido.scenic,Navigation
com.pinguido.scenic,Lifestyle
com.zerodawn.skratch,Travel
com.zerodawn.skratch,Lifestyle
com.halfpeeled.roadtrip,Travel
com.halfpeeled.roadtrip,Family
com.halfpeeled.roadtrip,Games
com.halfpeeled.roadtrip,Trivia
com.tymonwiedemair.maps2golite,Travel
com.tymonwiedemair.maps2golite,Navigation
com.porsche.RoadsByPorsche,Navigation
com.porsche.RoadsByPorsche,Travel
com.calimoto.calimoto,Navigation
com.calimoto.calimoto,Social Networking
com.travelmath,Travel
com.travelmath,Utilities
com.circlegate.transit,Travel
com.circlegate.transit,Navigation
com.shakaguide.oahu,Travel
com.shakaguide.oahu,Navigation
com.mytravelitinerary.googletrips,Travel
com.theglobalkey.theglobalkey,Lifestyle
com.voiaje,Travel
com.voiaje,Productivity
com.tekshapers.easemytrip,Travel
bee.travelexpense.com,Travel
bee.travelexpense.com,Utilities
com.cvz.dailytracker.red,Finance
com.cvz.dailytracker.red,Business
com.mobisharks.rv,Travel
com.mobisharks.rv,Utilities
com.cross-out,Productivity
com.cross-out,Travel
org.ridemetro.houstontrip,Navigation
org.ridemetro.houstontrip,Travel
com.tymonwiedemair.paris2go,Travel
com.tymonwiedemair.paris2go,Navigation
com.NandrezHoldingsLimited.pebblar,Travel
com.NandrezHoldingsLimited.pebblar,Productivity
com.ghosty.fotospot,Travel
com.ghosty.fotospot,Navigation
com.jerrycan.SydneyMetro,Travel
com.jerrycan.SydneyMetro,Navigation
com.etips.tripguider,Travel
com.etips.tripguider,Navigation
com.tymonwiedemair.madrid2go,Travel
com.tymonwiedemair.madrid2go,Navigation
com.tymonwiedemair.lisbon2go,Travel
com.tymonwiedemair.lisbon2go,Navigation
com.tymonwiedemair.dubai2go,Travel
com.tymonwiedemair.dubai2go,Navigation
com.zimride.instant,Travel
com.zimride.instant,Navigation
com.allstays.camprv,Travel
com.allstays.camprv,Navigation
com.tourlandish.Tourlandish,Travel
com.tourlandish.Tourlandish,Entertainment
com.app.framey,Travel
com.app.framey,Social Networking
com.gow.app,Travel
com.tripdesigner,Travel
com.busexpertapp.uswest.denver,Navigation
com.busexpertapp.uswest.denver,Travel
com.passporterapp.passporter,Travel
com.passporterapp.passporter,Entertainment
com.hoptale.ios,Travel
com.hoptale.ios,Lifestyle
com.intheflow.app,Lifestyle
com.intheflow.app,Travel
com.londonandpartners.londonguide,Travel
com.londonandpartners.londonguide,Lifestyle
com.modesittsoftware.RoadTripPlanner,Travel
com.modesittsoftware.RoadTripPlanner,Navigation
com.myapp.app2sdfgsgd,Travel
com.buzzhives.TripPlanner,Navigation
com.buzzhives.TripPlanner,Travel
llc.fabricate.remainders,Productivity
llc.fabricate.remainders,Utilities
com.travi.app,Travel
com.travi.app,Lifestyle
com.tnx.packed,Travel
com.tnx.packed,Lifestyle
com.travelerbuddy.app,Travel
com.travelerbuddy.app,Productivity
com.ngoc.travel,Travel
com.ngoc.travel,Utilities
