title,minInstalls,score,ratings,price,free,available,offersIAP,IAPRange,developer,developerWebsite,genre,contentRating,adSupported,released,updated,preregister,earlyAccessEnabled,isAvailableInPlayPass,appId,url,days_since_last_update,sentiment_category,app_age,rating_ratio,engagement_score,install_to_rating,IAPMin,IAPMax,update_frequency,app_age_category,rating_ratio_category,engagement_score_category,price_category,install_to_rating_category
Travel Town - Merge Adventure,10000000,4.392157,147232,0,free,True,True,"CZK 26.99 - CZK 2,699.99 if billed through Play",Magmatic Games LTD,https://support.traveltowngame.com,Puzzle,PEGI 3,True,2022-02-21,2024-04-05,False,False,False,io.randomco.travel,https://play.google.com/store/apps/details?id=io.randomco.travel&hl=en&gl=CZ,1,Slightly positive,774.0,6.098667197135469,0.0646666059424,67.92001738752441,26.99,2.0,Very Recent Updates,Mature,Great,Low Engagement,Free,High Review Ratio
Tripadvisor: Plan & Book Trips,100000000,3.2997117,1447318,0,free,True,False,,Tripadvisor,https://www.tripadvisor.com,Travel & Local,PEGI 3,True,2010-07-12,2024-04-02,False,False,False,com.tripadvisor.tripadvisor,https://play.google.com/store/apps/details?id=com.tripadvisor.tripadvisor&hl=en&gl=CZ,4,Positive,5013.0,1.407476004619175,0.047757321382206,69.09331605079188,,,Very Recent Updates,Very Mature,Mixed,Very Low Engagement,Free,High Review Ratio
Booking.com: Hotels and more,500000000,4.7224846,3971990,0,free,True,False,,Booking.com Hotels & Vacation Rentals,http://www.booking.com/apps.html?source=googleplay,Travel & Local,PEGI 3,False,2011-02-04,2024-04-04,False,False,False,com.booking,https://play.google.com/store/apps/details?id=com.booking&hl=en&gl=CZ,1,Positive,4808.0,25.02652219401185,0.03751532321270799,125.88148509940861,,,Very Recent Updates,Very Mature,Exceptional,Very Low Engagement,Free,Moderate Review Ratio
Airbnb,100000000,4.4577703,1569441,0,free,True,False,,Airbnb,https://www.airbnb.com/mobile,Travel & Local,PEGI 3,False,2012-01-17,2024-04-04,False,False,False,com.airbnb.android,https://play.google.com/store/apps/details?id=com.airbnb.android&hl=en&gl=CZ,2,Positive,4461.0,8.30468121418993,0.069962074774023,63.716953998270725,,,Very Recent Updates,Very Mature,Great,Low Engagement,Free,High Review Ratio
Skyscanner Flights Hotels Cars,50000000,4.744382,1127119,0,free,True,False,,Skyscanner Ltd,https://www.skyscanner.net,Travel & Local,PEGI 3,True,2011-07-20,2024-04-02,False,False,False,net.skyscanner.android.main,https://play.google.com/store/apps/details?id=net.skyscanner.android.main&hl=en&gl=CZ,4,Positive,4640.0,38.2301243339254,0.10694966190916,44.36088824693755,,,Very Recent Updates,Very Mature,Exceptional,Moderate Engagement,Free,High Review Ratio
GetYourGuide: Travel & Tickets,10000000,4.82,109004,0,free,True,False,,GetYourGuide,http://www.getyourguide.com,Travel & Local,PEGI 3,False,2013-10-09,2024-04-06,False,False,False,com.getyourguide.android,https://play.google.com/store/apps/details?id=com.getyourguide.android&hl=en&gl=CZ,0,Positive,3832.0,32.00091743119266,0.052539928,91.73975266962671,,,Very Recent Updates,Very Mature,Exceptional,Low Engagement,Free,High Review Ratio
"KAYAK: Flights, Hotels & Cars",10000000,4.66,308183,0,free,True,False,,KAYAK.com,https://www.kayak.com,Travel & Local,PEGI 3,True,,2024-04-02,False,False,False,com.kayak.android,https://play.google.com/store/apps/details?id=com.kayak.android&hl=en&gl=CZ,4,Positive,,17.33487422705169,0.143613278,32.44825314829175,,,Very Recent Updates,Very Mature,Exceptional,High Engagement,Free,High Review Ratio
TripIt: Travel Planner,5000000,4.57,79951,0,free,True,True,"CZK 1,299.99 if billed through Play","TripIt, Inc.",http://www.tripit.com/,Travel & Local,PEGI 3,False,,2024-03-21,False,False,False,com.tripit,https://play.google.com/store/apps/details?id=com.tripit&hl=en&gl=CZ,15,Positive,,21.12669945039051,0.073075214,62.538304711635796,,,Very Recent Updates,Very Mature,Exceptional,Low Engagement,Free,High Review Ratio
Polarsteps - Travel Tracker,1000000,4.67,84440,0,free,True,False,,Polarsteps,https://www.polarsteps.com,Travel & Local,Parental guidance,False,2016-09-28,2024-04-02,False,False,False,com.polarsteps,https://play.google.com/store/apps/details?id=com.polarsteps&hl=en&gl=CZ,4,Positive,2743.0,19.504698318496537,0.3943348,11.842728564661284,,,Very Recent Updates,Very Mature,Exceptional,Very High Engagement,Free,High Review Ratio
Wanderlog - Trip Planner App,1000000,4.910714,13469,0,free,True,True,"CZK 49.99 - CZK 2,199.99 if billed through Play",Wanderlog,https://wanderlog.com,Travel & Local,PEGI 3,False,2019-08-21,2024-03-21,False,False,False,com.wanderlog.android,https://play.google.com/store/apps/details?id=com.wanderlog.android&hl=en&gl=CZ,15,Positive,1674.0,inf,0.066142406866,74.24456158586328,49.99,2.0,Very Recent Updates,Very Mature,Exceptional,Low Engagement,Free,High Review Ratio
